,taxon_oid,Domain,Status,Study Name,Genome Name,Sequencing Center,IMG Genome ID ,Phylum,Class,Order,Family,Genus,Species,High Quality,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Habitat,Isolation,Type Strain,Uncultured Type,Genome Size   * assembled,Gene Count   * assembled,pfam00072,pfam00183,pfam00204,pfam00512,pfam02518,pfam07536,pfam07568,pfam07730,pfam13581,pfam13589,pfam13941,pfam14501,hamp_hk,ratio,hybrid,percent_hybrid
177,2524614855,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Acidaminococcus intestini DSM 21505,DOE Joint Genome Institute (JGI),2524614855,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini,Yes,Host-associated,Human,Unclassified,Unclassified,"Host, Human",Human peritoneal fluid,Yes,,2282467,2265,7,0,1,7,8,0,0,0,1,1,0,0,9,0.777777778,6,19.35483871
273,644736322,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Acidimicrobium ferrooxidans ICP, DSM 10331",DOE Joint Genome Institute (JGI),644736322,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,Acidimicrobium ferrooxidans,Yes,Environmental,Aquatic,Unclassified,Thermal springs,"Aquatic, Fresh water, Hot spring",Hot spring run-off in Iceland,Yes,,2158157,2092,15,0,1,6,11,0,1,2,1,0,0,0,12,1.25,,0
837,2561511102,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Acidiphilium angustum ATCC 35903,DOE Joint Genome Institute (JGI),2561511102,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,Acidiphilium angustum,Yes,Environmental,Terrestrial,Mine,Geologic,Acid mine,Acidic,Yes,,4175408,4012,31,1,2,16,25,0,0,0,1,2,0,0,25,1.24,,0
1096,2513237117,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Acidipropionibacterium acidipropionici DSM 4900,DOE Joint Genome Institute (JGI),2513237117,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium acidipropionici,Yes,Engineered,Food production,Unclassified,Dairy products,Dairy isolates,Dairy product,Yes,,3591078,3372,22,0,2,9,17,0,1,11,0,1,0,0,17,1.294117647,,0
1097,2523533551,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Acidipropionibacterium jensenii DSM 20535,DOE Joint Genome Institute (JGI),2523533551,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium jensenii,Yes,Engineered,Food production,Unclassified,Dairy products,Dairy isolates,Buttermilk,Yes,,3028354,2781,21,0,2,6,15,0,1,9,0,0,0,0,14,1.5,10,29.41176471
1098,2523231069,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Acidipropionibacterium thoenii DSM 20276,DOE Joint Genome Institute (JGI),2523231069,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium thoenii,Yes,Engineered,Food production,Unclassified,Dairy products,Cheese,Emmental cheese,Yes,,2938072,2703,25,0,2,8,15,0,1,14,0,0,0,0,14,1.785714286,19,26.02739726
838,2556921625,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Acidocella facilis ATCC 35904,DOE Joint Genome Institute (JGI),2556921625,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidocella,Acidocella facilis,Yes,Environmental,Terrestrial,Mine,Geologic,Mine,"Mine Pennsylvania, United States",Yes,,3403931,3263,37,1,2,21,29,0,0,0,0,2,0,0,28,1.321428571,4,16.66666667
1148,2563366540,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Acidovorax oryzae ATCC 19882,DOE Joint Genome Institute (JGI),2563366540,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax oryzae,Yes,Environmental,Terrestrial,Unclassified,Agricultural field,"Plants, Rice paddies","Oryza sativa, Japan",Yes,,5528784,4932,81,1,2,50,67,0,0,5,1,2,0,0,67,1.208955224,2,8.333333333
2,2556921654,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Acinetobacter baylyi DSM 14961,DOE Joint Genome Institute (JGI),2556921654,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baylyi,Yes,Engineered,Wastewater,Unclassified,Unclassified,Sludge,Activated sludge,Yes,,3606029,3383,22,1,2,16,20,0,0,0,0,1,0,0,18,1.222222222,3,13.04347826
3,2517093005,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Acinetobacter bouvetii DSM 14964,DOE Joint Genome Institute (JGI),2517093005,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bouvetii,Yes,Engineered,Wastewater,Unclassified,Unclassified,Wastewater treatment plant,Wastewater treatment plant,Yes,,3356470,3207,22,1,2,13,20,0,0,0,0,1,0,0,18,1.222222222,2,7.407407407
4,2556921011,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Acinetobacter tandoii DSM 14970,DOE Joint Genome Institute (JGI),2556921011,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter tandoii,Yes,Engineered,Wastewater,Unclassified,Unclassified,"Sludge, Wastewater",Activated sludge,Yes,,4053859,4046,22,1,2,14,19,0,0,0,0,1,0,0,17,1.294117647,3,12.5
5,2517572243,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Acinetobacter tjernbergiae DSM 14971,DOE Joint Genome Institute (JGI),2517572243,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter tjernbergiae,Yes,Engineered,Wastewater,Unclassified,Unclassified,Sludge,"activated sludge plants in Victoria, Australia",Yes,,3692377,3571,26,1,2,19,23,0,0,1,0,1,0,0,21,1.238095238,,0
6,2556921621,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Acinetobacter towneri DSM 14962,DOE Joint Genome Institute (JGI),2556921621,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter towneri,Yes,Engineered,Wastewater,Unclassified,Unclassified,"Sludge, Wastewater",Activated sludge,Yes,,2854510,2826,20,1,2,13,19,0,0,0,0,2,0,0,18,1.111111111,1,8.333333333
327,2524614639,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Actinoalloteichus cyanogriseus DSM 43889,DOE Joint Genome Institute (JGI),2524614639,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus,Actinoalloteichus cyanogriseus,Yes,Environmental,Terrestrial,Unclassified,Soil,Soil,Soil,Yes,,5968963,4992,37,1,2,10,21,0,1,19,1,2,0,0,22,1.681818182,4,4.597701149
1163,2519899771,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Actinobacillus capsulatus DSM 19761,DOE Joint Genome Institute (JGI),2519899771,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus capsulatus,Yes,Host-associated,Mammals,,,Host,Rabbit joint,Yes,,2621135,2604,6,1,2,4,8,0,0,1,0,1,0,0,6,1,5,6.493506494
328,2518285603,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Actinokineospora enzanensis DSM 44649,DOE Joint Genome Institute (JGI),2518285603,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinokineospora,Actinokineospora enzanensis,Yes,Environmental,Terrestrial,Unclassified,Soil,Soil,Forest soil,Yes,,8119858,7409,95,2,2,35,62,0,1,38,18,2,1,0,78,1.217948718,2,2.702702703
114,2528768220,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Actinokineospora inagensis DSM 44258,DOE Joint Genome Institute (JGI),2528768220,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinokineospora,Actinokineospora inagensis,Yes,Host-associated,Plants,Unclassified,Unclassified,Plants,Fallen leaves on the shore of a lake,Yes,,7278759,6453,74,2,2,34,56,0,1,25,14,2,1,0,68,1.088235294,2,2.43902439
329,2519899649,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Actinomadura atramentaria DSM 43919,DOE Joint Genome Institute (JGI),2519899649,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,Actinomadura atramentaria,Yes,Environmental,Terrestrial,Unclassified,Soil,Soil,Dry heated soil,Yes,,6712350,6346,70,1,2,29,46,0,1,38,23,2,0,0,69,1.014492754,1,0.862068966
115,2518645623,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Actinomadura flavalba DSM 45200,DOE Joint Genome Institute (JGI),2518645623,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,Actinomadura flavalba,Yes,Host-associated,Plants,Unclassified,Unclassified,Plants,Surface-sterilized leaves of Maytenus austroyunnanensis from tropical rainforest,Yes,,6169406,5741,61,1,2,25,49,0,1,33,28,2,0,0,77,0.792207792,1,0.952380952
330,2540341222,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Actinomadura oligospora ATCC 43269,DOE Joint Genome Institute (JGI),2540341222,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,Actinomadura oligospora,Yes,Environmental,Terrestrial,Unclassified,Soil,Soil,"soil, India",Yes,,9355686,8366,105,1,2,39,70,0,1,66,42,1,0,0,111,0.945945946,,0
331,2523533532,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Actinomadura rifamycini DSM 43936,DOE Joint Genome Institute (JGI),2523533532,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,Actinomadura rifamycini,Yes,Environmental,Terrestrial,Unclassified,Soil,Soil,Soil,Yes,,8387248,7706,94,1,2,30,66,0,1,62,34,2,0,0,100,0.94,,0
489,2523533597,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Actinomyces dentalis DSM 19115,DOE Joint Genome Institute (JGI),2523533597,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces dentalis,Yes,Host-associated,Human,Unclassified,Skin,"Host, Human",Human dental abscess,Yes,,3533300,2975,37,0,2,10,17,0,1,21,5,0,0,0,21,1.761904762,,0
1010,2523231019,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Actinomyces georgiae DSM 6843,DOE Joint Genome Institute (JGI),2523231019,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces georgiae,Yes,Host-associated,Human,Oral,Digestive system,"Host, Human",Subgingival plaque,Yes,,2500649,2167,15,0,2,6,9,0,1,5,2,0,0,1,11,1.363636364,,0
490,2524023137,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Actinomyces gerencseriae DSM 6844,DOE Joint Genome Institute (JGI),2524023137,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces gerencseriae,Yes,Host-associated,Human,Unclassified,Skin,"Host, Human","Human, parotid abscess",Yes,,3420019,2893,35,0,2,8,11,0,1,23,2,0,0,0,12,2.916666667,,0
491,2565956542,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Actinomyces israelii DSM 43320,DOE Joint Genome Institute (JGI),2565956542,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces israelii,Yes,Host-associated,Human,Unclassified,Skin,"Host, Human",Human brain abscess,Yes,,4027570,3411,38,1,2,9,15,0,1,16,2,1,0,0,16,2.375,,0
178,2524023166,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Actinomyces neuii neuii DSM 8576,DOE Joint Genome Institute (JGI),2524023166,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces neuii,Yes,Host-associated,Human,Unclassified,Unclassified,"Host, Human",Infected human mammary hematoma,Yes,,2270293,2068,13,0,2,7,11,0,1,3,1,0,0,0,11,1.181818182,,0
1062,2524614860,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Actinomyces slackii ATCC 49928,DOE Joint Genome Institute (JGI),2524614860,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces slackii,Yes,Host-associated,Animal,Unclassified,Digestive system,Host,"oral cavity - animal (dental plaque of dairy cattle, Belfast, Northern) Belfast Ireland",Yes,,3172712,2673,26,1,2,9,13,0,1,14,1,0,0,0,12,2.166666667,,0
504,2523231055,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Actinomyces suimastitidis DSM 15538,DOE Joint Genome Institute (JGI),2523231055,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces suimastitidis,Yes,Host-associated,Animal,Unclassified,Skin,"Host, Pig",Swine deep mammary abscess,Yes,,2294128,2011,13,0,2,6,9,0,1,2,2,0,0,1,11,1.181818182,1,2.380952381
150,2523533527,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Actinomyces vaccimaxillae DSM 15804,DOE Joint Genome Institute (JGI),2523533527,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces vaccimaxillae,Yes,Host-associated,Mammals,Unclassified,Unclassified,"Bovine, Host",Jaw lesion in adult cow,Yes,,2338426,2102,14,0,2,5,9,0,1,4,1,0,0,1,10,1.4,17,12.40875912
332,2515154015,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Actinomycetospora chiangmaiensis DSM 45062,DOE Joint Genome Institute (JGI),2515154015,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora,Actinomycetospora chiangmaiensis,Yes,Environmental,Terrestrial,Unclassified,Soil,Soil,"Soil collected from a tropical rainforest, Chiang Mai, Thailand",Yes,,5861079,5756,44,1,1,16,30,0,1,11,9,1,0,0,39,1.128205128,2,4.444444444
333,2515154017,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Actinoplanes globisporus DSM 43857,DOE Joint Genome Institute (JGI),2515154017,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes globisporus,Yes,Environmental,Terrestrial,Unclassified,Soil,Soil,Soil,Yes,,10988507,10116,151,2,2,67,110,0,1,53,20,2,1,0,128,1.1796875,,0
536,2515154155,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Actinopolymorpha alba DSM 45243,DOE Joint Genome Institute (JGI),2515154155,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Actinopolymorpha,Actinopolymorpha alba,Yes,Host-associated,Plants,Unclassified,Rhizoplane,"Rhizosphere, Soil","rhizosphere soil of Maytenus hookeri Loes in Xishuangbanna, China",Yes,,7985436,7546,75,0,2,22,40,0,1,43,2,0,1,0,40,1.875,,0
1099,2517287026,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Actinopolyspora halophila DSM 43834,DOE Joint Genome Institute (JGI),2517287026,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,Actinopolyspora halophila,Yes,Engineered,Food production,Unclassified,Dairy products,,dairy salt,Yes,,5353291,4973,35,1,1,10,25,0,1,9,2,1,0,0,27,1.296296296,5,5.952380952
334,2516493031,Bacteria,Permanent Draft,Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA),"Actinopolyspora mortivallis HS-1, DSM 44261",DOE Joint Genome Institute (JGI),2516493031,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,Actinopolyspora mortivallis,Yes,Environmental,Terrestrial,Unclassified,Soil,Soil,"soil, Death Valley, CA",Yes,,4233350,3981,21,1,1,6,17,0,1,7,1,1,0,0,18,1.166666667,5,6.756756757
335,2510065062,Bacteria,Permanent Draft,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Actinospica robiniae DSM 44927,DOE Joint Genome Institute (JGI),2510065062,Actinobacteria,Actinobacteria,Catenulisporales,Actinospicaceae,Actinospica,Actinospica robiniae,Yes,Environmental,Terrestrial,Unclassified,Soil,Soil,"Forest soil from Lombardia, Italy",Yes,,9918887,8726,72,3,3,28,48,0,1,25,28,2,0,0,73,0.98630137,,0
116,644736323,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Actinosynnema mirum 101, DSM 43827",DOE Joint Genome Institute (JGI),644736323,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema,Actinosynnema mirum,Yes,Host-associated,Plants,Unclassified,Unclassified,Plants,"Blade of grass from Raritan River NJ, USA",Yes,,8248144,7176,87,2,2,37,54,0,1,37,13,3,0,0,67,1.298507463,,0
1119,2524614731,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Actinotignum schaalii DSM 15541,DOE Joint Genome Institute (JGI),2524614731,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinotignum,Actinotignum schaalii,Yes,Host-associated,Human,Blood,Circulatory system,"Host, Human","human blood, chronic pyelonephritis, 64-yr-old man",Yes,,2130987,1835,11,0,2,5,10,0,1,4,0,0,0,0,9,1.222222222,7,8.333333333
977,2524614758,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Actinotignum urinale DSM 15805,DOE Joint Genome Institute (JGI),2524614758,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinotignum,Actinotignum urinale,Yes,Host-associated,Human,Urethra,Excretory system,"Host, Human","Urine culture, human female with pyuria",Yes,,1920341,1725,7,0,2,4,7,0,1,2,0,0,0,0,6,1.166666667,3,10.34482759
104,2511231049,Bacteria,Permanent Draft,Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA),Adhaeribacter aquaticus DSM 16391,DOE Joint Genome Institute (JGI),2511231049,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Adhaeribacter,Adhaeribacter aquaticus,Yes,Environmental,Unclassified,Unclassified,Unclassified,"Aquatic, Fresh water",Freshwater biofilm; United Kingdom,Yes,,5168091,4607,62,1,2,29,76,0,0,7,3,2,0,0,78,0.794871795,5,14.28571429
635,2524023070,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Aequorivita capsosiphonis DSM 23843,DOE Joint Genome Institute (JGI),2524023070,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita,Aequorivita capsosiphonis,Yes,Environmental,Aquatic,Coastal,Marine,"Aquatic, Marine, Sea water",seawater,Yes,,4042904,3681,31,1,2,11,24,0,2,5,0,2,0,0,25,1.24,,0
