,Genome Name,HPK,RR,Hybrid,% Hybrid,RR:HPK Ratio,Genome Size   * assembled,Gene Count   * assembled,taxon_oid,Domain,Status,Study Name,Sequencing Center,Phylum,Class,Order,Family,Genus,Species,Ecosystem*,Ecosystem Category*,Ecosystem Subtype*,Ecosystem Type*,Ecotype*,Habitat*
48,Actinotignum schaalii DSM 15541,10.0,11.0,,,1.1,2130987,1835,2524614731,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinotignum,Actinotignum schaalii,Host-associated,Human,Blood,Circulatory system,,"Host, Human"
49,Actinotignum urinale DSM 15805,7.0,7.0,,,1.0,1920341,1725,2524614758,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinotignum,Actinotignum urinale,Host-associated,Human,Urethra,Excretory system,,"Host, Human"
50,Adhaeribacter aquaticus DSM 16391,78.0,52.0,10.0,12.82051282,0.666666667,5168091,4607,2511231049,Bacteria,Permanent Draft,Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA),DOE Joint Genome Institute (JGI),Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Adhaeribacter,Adhaeribacter aquaticus,Environmental,Unclassified,Unclassified,Unclassified,,"Aquatic, Fresh water"
51,Aequorivita capsosiphonis DSM 23843,23.0,28.0,3.0,13.04347826,1.217391304,4042904,3679,2524023070,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita,Aequorivita capsosiphonis,Environmental,Aquatic,Coastal,Marine,,"Aquatic, Marine, Sea water"
52,"Aequorivita sublithincola QSSC9-3, DSM 14238",29.0,31.0,5.0,17.24137931,1.068965517,3520671,3242,2509276063,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita,Aequorivita sublithincola,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water"
53,Aerococcus urinaeequi DSM 20341,9.0,10.0,,,1.111111111,1994147,1874,2524614650,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus urinaeequi,Host-associated,Animal,Unclassified,Digestive system,,Host
54,Aestuariibacter salexigens DSM 15300,56.0,57.0,24.0,42.85714286,1.017857143,3785834,3490,2524614540,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter,Aestuariibacter salexigens,Environmental,Aquatic,Unclassified,Sediment,,Sediment
55,Aestuariimicrobium kwangyangense DSM 21549,14.0,14.0,,,1.0,2990149,2692,2523533600,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Aestuariimicrobium,Aestuariimicrobium kwangyangense,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Marine, Sediment"
56,Afifella pfennigii DSM 17143,32.0,31.0,8.0,25.0,0.96875,3872586,3787,2556921008,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Afifella,Afifella pfennigii,Environmental,Aquatic,Unclassified,Non-marine Saline and Alkaline,,"Aquatic, Brackish water, Mat"
57,Agathobaculum desmolans ATCC 43058,23.0,24.0,1.0,4.347826087,1.043478261,2652605,2763,2561511082,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Agathobaculum,Agathobaculum desmolans,Host-associated,Animal,Fecal,Digestive system,,Host
58,Aggregatibacter actinomycetemcomitans sv. C DSM 8324,6.0,5.0,1.0,16.66666667,0.833333333,2085887,2112,2515154019,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,Host-associated,Human,Unclassified,Skin,,"Host, Human"
59,Agrobacterium larrymoorei ATCC 51759,58.0,57.0,15.0,25.86206897,0.9827586209999999,5163333,4978,2540341200,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium larrymoorei,Host-associated,Plants,Unclassified,Unclassified,,
60,Agrococcus lahaulensis DSM 17612,18.0,16.0,,,0.8888888890000001,2677837,2687,2524023149,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agrococcus,Agrococcus lahaulensis,Environmental,Terrestrial,Unclassified,Soil,,Soil
61,Agromyces italicus DSM 16388,27.0,28.0,,,1.037037037,3730505,3451,2524023150,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,Agromyces italicus,Environmental,Terrestrial,Unclassified,Geologic,,Cave
62,Agromyces subbeticus DSM 16689,30.0,32.0,,,1.066666667,4303916,4026,2524023187,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,Agromyces subbeticus,Environmental,Unclassified,Unclassified,Unclassified,,Cave
63,Ahrensia kielensis DSM 5890,32.0,35.0,5.0,15.625,1.09375,3364770,3285,2517572121,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ahrensia,Ahrensia kielensis,Environmental,Aquatic,Unclassified,Non-marine Saline and Alkaline,,"Aquatic, Brackish water"
