Genome Name,org_type_y,ratio,HPK,rr,his_kin_per_100,Genome Size   * assembled,Gene Count   * assembled,hpkper,HybridHPK,taxon_oid,Domain,Status,Study Name,Sequencing Center,IMG Genome ID ,Phylum,ForColors,Class,Order,Family,Genus,Species,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Ecotype,Habitat,lifestyle_color,order_color
Synechococcus sp. CB0205,o,0.833333333,12,10,0.433839479,2427308,2766,0.433839479,,649990023,Bacteria,Permanent Draft,Synechococcus sp. CB0205,J. Craig Venter Institute (JCVI),649990023,Cyanobacteria,Synechococcales,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. CB0205,Environmental,Aquatic,Unclassified,Marine,,"Host, Marine",#abdda4,#3288bd
Synechococcus sp. CB0101,o,1.25,16,20,0.524762217,2686395,3049,0.524762217,3,649990022,Bacteria,Permanent Draft,Synechococcus sp. CB0101,J. Craig Venter Institute (JCVI),649990022,Cyanobacteria,Synechococcales,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. CB0101,Environmental,Aquatic,Unclassified,Marine,,"Host, Marine",#abdda4,#abdda4
Synechococcus sp. BL107,o,1,8,8,0.313111546,2283377,2555,0.313111546,6,639857006,Bacteria,Permanent Draft,Synechococcus sp. BL107,J. Craig Venter Institute (JCVI),639857006,Cyanobacteria,Synechococcales,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. BL107,Environmental,Aquatic,Marginal Sea,Marine,,"Aquatic, Marine",#abdda4,#d73027
SAR116 cluster alpha proteobacterium sp. HIMB100,o,0.533333333,15,8,0.631313131,2459485,2376,0.631313131,,2503113005,Bacteria,Permanent Draft,SAR116 cluster alpha proteobacterium sp. HIMB100,Pennsylvania State University,2503113005,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified,SAR116 cluster alpha proteobacterium HIMB100,Environmental,Aquatic,Unclassified,Marine,,Marine,#abdda4,#d73027
SAR11 cluster bacterium JGI GoM_375m_188_H08 (contamination screened),o,0,5,,0.502512563,900268,995,0.502512563,,2706794807,Bacteria,Permanent Draft,Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones,DOE Joint Genome Institute (JGI),2706794807,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,unclassified,SAR11 cluster bacterium JGI GoM_375m_188_H08,,,,,,,,
SAR11 cluster bacterium JGI GoM_375m_188_E04 (contamination screened),o,0,3,,1.265822785,202418,237,1.265822785,,2706794856,Bacteria,Permanent Draft,Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones,DOE Joint Genome Institute (JGI),2706794856,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,unclassified,SAR11 cluster bacterium JGI GoM_375m_188_E04,,,,,,,,
SAR11 cluster bacterium JGI GoM_375m_188_D08 (contamination screened),o,0,3,,0.352526439,775582,851,0.352526439,,2706794803,Bacteria,Permanent Draft,Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones,DOE Joint Genome Institute (JGI),2706794803,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,unclassified,SAR11 cluster bacterium JGI GoM_375m_188_D08,,,,,,,,
SAR11 cluster bacterium JGI GoM_375m_188_A02 (contamination screened),o,0,1,,0.296735905,303716,337,0.296735905,,2706794872,Bacteria,Permanent Draft,Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones,DOE Joint Genome Institute (JGI),2706794872,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,unclassified,SAR11 cluster bacterium JGI GoM_375m_188_A02,,,,,,,,
SAR11 cluster bacterium JGI GoM_1m_182_G01 (contamination screened),o,0,4,,0.522193211,669643,766,0.522193211,,2706794874,Bacteria,Permanent Draft,Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones,DOE Joint Genome Institute (JGI),2706794874,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,unclassified,SAR11 cluster bacterium JGI GoM_1m_182_G01,,,,,,,,
SAR11 cluster bacterium JGI GoM_1m_182_D02 (contamination screened),o,0,7,,0.854700855,733779,819,0.854700855,,2706794868,Bacteria,Permanent Draft,Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones,DOE Joint Genome Institute (JGI),2706794868,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,unclassified,SAR11 cluster bacterium JGI GoM_1m_182_D02,,,,,,,,
SAR11 cluster bacterium JGI GoM_1m_182_A11 (contamination screened),o,0,5,,0.449236298,998184,1113,0.449236298,,2706794817,Bacteria,Permanent Draft,Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones,DOE Joint Genome Institute (JGI),2706794817,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,unclassified,SAR11 cluster bacterium JGI GoM_1m_182_A11,,,,,,,,
SAR11 cluster bacterium JGI GoM_1470m_185_E04 (contamination screened),o,0,1,,0.15576324,574963,642,0.15576324,,2706794895,Bacteria,Permanent Draft,Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones,DOE Joint Genome Institute (JGI),2706794895,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,unclassified,SAR11 cluster bacterium JGI GoM_1470m_185_E04,,,,,,,,
SAR11 cluster bacterium JGI ETNP_60m_184_G07 (contamination screened),o,0,1,,0.253807107,360759,394,0.253807107,,2706794835,Bacteria,Permanent Draft,Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones,DOE Joint Genome Institute (JGI),2706794835,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,unclassified,SAR11 cluster bacterium JGI ETNP_60m_184_G07,,,,,,,,
SAR11 cluster bacterium JGI ETNP_125m_186_G05 (contamination screened),o,0,2,,0.518134715,337771,386,0.518134715,,2706794815,Bacteria,Permanent Draft,Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones,DOE Joint Genome Institute (JGI),2706794815,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,unclassified,SAR11 cluster bacterium JGI ETNP_125m_186_G05,,,,,,,,
SAR11 cluster bacterium JGI ETNP_125m_186_C10 (contamination screened),o,0,1,,0.357142857,249733,280,0.357142857,,2706794866,Bacteria,Permanent Draft,Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones,DOE Joint Genome Institute (JGI),2706794866,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,unclassified,SAR11 cluster bacterium JGI ETNP_125m_186_C10,,,,,,,,
Prochlorococcus sp. SS52,o,0.666666667,9,6,0.460122699,1754053,1956,0.460122699,,2606217314,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217314,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus sp. SS52,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,#3288bd,#66c2a5
Prochlorococcus sp. MIT9107,o,0.625,8,5,0.405473898,1699937,1973,0.405473898,2,2606217692,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217692,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,#abdda4,#3288bd
Prochlorococcus sp. MIT0801,o,0.666666667,9,6,0.405770965,1929203,2218,0.405770965,,2606217560,Bacteria,Finished,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217560,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus sp. MIT 0801,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,#abdda4,#3288bd
Prochlorococcus sp. MIT0703,o,0.909090909,11,10,0.408314774,2575057,2694,0.408314774,,2606217682,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217682,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus sp. MIT 0703,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,#abdda4,#3288bd
Prochlorococcus sp. MIT0702,o,0.909090909,11,10,0.406504065,2583057,2706,0.406504065,,2606217681,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217681,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus sp. MIT 0702,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,#abdda4,#3288bd
Prochlorococcus sp. MIT0701,o,0.909090909,11,10,0.406804734,2592571,2704,0.406804734,,2606217684,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217684,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus sp. MIT 0701,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,#abdda4,#fdae61
Prochlorococcus sp. MIT0604,o,0.625,8,5,0.382958353,1780061,2089,0.382958353,,2606217688,Bacteria,Finished,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217688,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus sp. MIT 0604,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,#abdda4,#3288bd
Prochlorococcus sp. MIT0603,o,0.666666667,9,6,0.460593654,1752482,1954,0.460593654,,2606217686,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217686,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus sp. MIT 0603,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,#abdda4,#3288bd
Prochlorococcus sp. MIT0602,o,0.666666667,9,6,0.460122699,1750918,1956,0.460122699,,2606217317,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217317,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus sp. MIT 0602,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,#abdda4,#66c2a5
Prochlorococcus sp. MIT0601,o,0.666666667,9,6,0.472440945,1707342,1905,0.472440945,,2606217319,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217319,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus sp. MIT 0601,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,#abdda4,#fdae61
Prochlorococcus marinus SS51,o,0.666666667,9,6,0.463678516,1746977,1941,0.463678516,,2606217315,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217315,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,#abdda4,#3288bd
Prochlorococcus marinus SS35,o,0.666666667,9,6,0.463439753,1751015,1942,0.463439753,,2606217311,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217311,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,#abdda4,#5e4fa2
Prochlorococcus marinus SS2,o,0.666666667,9,6,0.460358056,1752772,1955,0.460358056,,2606217313,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217313,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,#abdda4,#5e4fa2
Prochlorococcus marinus SB,o,0.666666667,9,6,0.467775468,1669823,1924,0.467775468,,2606217677,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217677,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,#abdda4,#66c2a5
Prochlorococcus marinus pastoris CCMP 1986,o,0.666666667,9,6,0.43499275,1657990,2069,0.43499275,,637000214,Bacteria,Finished,Prochlorococcus marinus subsp. pastoris CCMP1986,DOE Joint Genome Institute (JGI),637000214,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Marginal Sea,Marine,High light adapted (HL),"Aquatic, Marine",#abdda4,#5e4fa2
Prochlorococcus marinus PAC1,o,0.625,8,5,0.364132909,1841163,2197,0.364132909,1,2606217419,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217419,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,#abdda4,#5e4fa2
Prochlorococcus marinus NATL2A,o,0.666666667,9,6,0.453400504,1842899,1985,0.453400504,,637000212,Bacteria,Finished,Prochlorococcus sp. NATL2A,DOE Joint Genome Institute (JGI),637000212,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),Marine,#abdda4,#5e4fa2
Prochlorococcus marinus NATL1A,o,0.666666667,9,6,0.399822301,1864731,2251,0.399822301,,640069325,Bacteria,Finished,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),640069325,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),Marine,#abdda4,#3288bd
Prochlorococcus marinus MIT9515,o,0.625,8,5,0.406504065,1704176,1968,0.406504065,,640069324,Bacteria,Finished,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),640069324,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),"Marine, Surface water",#abdda4,#5e4fa2
Prochlorococcus marinus MIT9401,o,0.555555556,9,5,0.461775269,1666808,1949,0.461775269,,2606217316,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217316,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,#abdda4,#3288bd
Prochlorococcus marinus MIT9322,o,0.555555556,9,5,0.464876033,1657550,1936,0.464876033,,2606217679,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217679,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,#abdda4,#5e4fa2
Prochlorococcus marinus MIT9321,o,0.555555556,9,5,0.464636035,1658664,1937,0.464636035,,2606217683,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217683,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,#abdda4,#3288bd
Prochlorococcus marinus MIT9314,o,0.666666667,9,6,0.455235205,1690556,1977,0.455235205,,2606217312,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217312,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,#abdda4,#fdae61
Prochlorococcus marinus MIT9313,o,0.818181818,11,9,0.471293916,2410873,2334,0.471293916,,637000211,Bacteria,Finished,Prochlorococcus sp. MIT9313,DOE Joint Genome Institute (JGI),637000211,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),Marine,#abdda4,#66c2a5
Prochlorococcus marinus MIT9312,o,0.666666667,9,6,0.483870968,1709204,1860,0.483870968,,637000210,Bacteria,Finished,Prochlorococcus marinus MIT9312,DOE Joint Genome Institute (JGI),637000210,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),Marine,#abdda4,#66c2a5
Prochlorococcus marinus MIT9311,o,0.666666667,9,6,0.457782299,1711064,1966,0.457782299,,2606217680,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217680,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,#abdda4,#fdae61
Prochlorococcus marinus MIT9303,o,0.75,12,9,0.38301947,2682675,3133,0.38301947,,640069323,Bacteria,Finished,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),640069323,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),"Aquatic, Marine",#abdda4,#fdae61
Prochlorococcus marinus MIT9302,o,0.666666667,9,6,0.44709389,1745343,2013,0.44709389,,2606217691,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217691,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,#abdda4,#66c2a5
Prochlorococcus marinus MIT9301,o,0.666666667,9,6,0.457549568,1641879,1967,0.457549568,,640069322,Bacteria,Finished,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),640069322,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),"Aquatic, Marine",#abdda4,#66c2a5
Prochlorococcus marinus MIT9215,o,0.3125,16,5,0.8004002,1738790,1999,0.8004002,,2606217559,Bacteria,Finished,Prochlorococcus sp. MIT9215,DOE Joint Genome Institute (JGI),2606217559,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),Marine,#abdda4,#fdae61
Prochlorococcus marinus MIT9215,o,0.3125,16,5,0.8004002,1738790,1999,0.8004002,,2606217559,Bacteria,Finished,Prochlorococcus sp. MIT9215,DOE Joint Genome Institute (JGI),2606217559,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),Marine,#abdda4,#fdae61
Prochlorococcus marinus MIT9215,o,0.3125,16,5,0.777076251,1738790,2059,0.777076251,,640753041,Bacteria,Finished,Prochlorococcus sp. MIT9215,DOE Joint Genome Institute (JGI),640753041,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),Marine,#abdda4,#5e4fa2
Prochlorococcus marinus MIT9215,o,0.3125,16,5,0.777076251,1738790,2059,0.777076251,,640753041,Bacteria,Finished,Prochlorococcus sp. MIT9215,DOE Joint Genome Institute (JGI),640753041,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),Marine,#abdda4,#5e4fa2
Prochlorococcus marinus MIT9211,o,0.666666667,9,6,0.473435034,1688963,1901,0.473435034,,641228501,Bacteria,Finished,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),641228501,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),Marine,#abdda4,#fdae61
Prochlorococcus marinus MIT9202,o,0.5,8,4,0.414507772,1691453,1930,0.414507772,,647533199,Bacteria,Permanent Draft,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),647533199,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),Marine,#abdda4,#3288bd
Prochlorococcus marinus MIT9201,o,0.625,8,5,0.403836446,1672416,1981,0.403836446,,2606217687,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217687,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,#abdda4,#3288bd
Prochlorococcus marinus MIT9123,o,0.625,8,5,0.404040404,1697748,1980,0.404040404,,2606217318,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217318,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,#abdda4,#3288bd
Prochlorococcus marinus MIT9116,o,0.555555556,9,5,0.458248473,1685398,1964,0.458248473,,2606217690,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217690,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,#abdda4,#3288bd
