,Unnamed: 0,Unnamed: 0.1,Genome Name,HPK,RR,Hybrid,hpkper100,% Hybrid,RR:HPK Ratio,Genome Size,Gene Count,taxon_oid,Domain,Status,Study Name,Sequencing Center,Phylum,Class,CyanoClass,Order,Family,Genus,Species,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Ecotype,Habitat,Ratio_no_RR_Hybrid,org_type_y,ForColors,lifestyle_color,order_color,Unnamed: 5,Unnamed: 6,Unnamed: 7,7.44E-10
191,380,429,Vibrio alginolyticus 12G01,47,51,17,0.974295191,36.17021277,1.085106383,5160431,4824,638341222,Bacteria,Permanent Draft,Vibrio alginolyticus 12G01,J. Craig Venter Institute (JCVI),Proteobacteria,Gammaproteobacteria,,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,Environmental,Aquatic,Unclassified,Marine,,,1.085106383,,Gammaproteobacteria,#3288bd,#fee086,,,,
151,0,0,Acaryochloris marina MBIC11017,98,100,48,1.154571159,48.97959184,1.020408163,8361599,8488,641228474,Bacteria,Finished,Acaryochloris marina MBIC11017,Washington University in St. Louis,Cyanobacteria,unclassified,,Synechococcales,Acaryochloridaceae,Acaryochloris,Acaryochloris marina,Host-associated,Animal,Unclassified,Unclassified,,Marine,1.020408163,,Cyanobacteria,,,,,,
100,1,1,Acaryochloris sp CCMEE 5410,105,98,48,1.383946224,45.71428571,0.933333333,7875477,7587,2513237397,Bacteria,Permanent Draft,Acaryochloris sp CCMEE 5410,J. Craig Venter Institute (JCVI),Cyanobacteria,unclassified,,Synechococcales,Acaryochloridaceae,Acaryochloris,Acaryochloris sp. CCMEE 5410,Environmental,Aquatic,Saline,Non-marine Saline and Alkaline,,"Aquatic, Marine",0.933333333,,Cyanobacteria,,,,,,
316,377,426,Thiobacillus denitrificans DSM 12475,33,45,5,0.903861956,15.15151515,1.363636364,3609948,3651,2515154078,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Betaproteobacteria,,Nitrosomonadales,Thiobacillaceae,Thiobacillus,Thiobacillus denitrificans,Engineered,Wastewater,Unclassified,Unclassified,,"Aquatic, Fresh water, Marine, Mud, Sediment, Sewage, Wastewater",1.363636364,,Betaproteobacteria,,,,,,
146,376,425,"Thermosediminibacter oceani JW/IW-1228P, DSM 16646",16,16,,0.681431005,,1,2280035,2348,648028061,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Firmicutes,Clostridia,,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermosediminibacter,Thermosediminibacter oceani,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Deep sea, Marine, Sediment",1,,Firmicutes,,,,,,
71,375,424,"Thermodesulfatator indicus CIR29812, DSM 15286",30,26,10,1.309471846,33.33333333,0.866666667,2322224,2291,2505119042,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Thermodesulfobacteria,Thermodesulfobacteria,,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfatator,Thermodesulfatator indicus,Environmental,Aquatic,Hydrothermal vents,Marine,,"Aquatic, Deep sea, Marine",0.866666667,,Other,,,,,,
85,374,423,Thermodesulfatator atlanticus DSM 21156,29,26,9,1.262516326,31.03448276,0.896551724,2302285,2297,2523533580,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Thermodesulfobacteria,Thermodesulfobacteria,,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfatator,Thermodesulfatator atlanticus,Environmental,Aquatic,Hydrothermal vents,Marine,,"Aquatic, Deep sea, Marine",0.896551724,,Other,,,,,,
201,373,422,"Thermaerobacter marianensis 7p75a, DSM 12885",19,21,,0.780287474,,1.105263158,2844696,2435,649633101,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Firmicutes,Clostridia,,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Thermaerobacter,Thermaerobacter marianensis,Environmental,Aquatic,Oceanic,Marine,,"Deep sea, Marine, Mud",1.105263158,,Firmicutes,,,,,,
228,372,421,Thalassospira lucentensis DSM 14000,40,46,9,0.901306895,22.5,1.15,4748691,4438,2526164517,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Alphaproteobacteria,,Rhodospirillales,Rhodospirillaceae,Thalassospira,Thalassospira lucentensis,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",1.15,,Alphaproteobacteria,,,,,,
17,371,420,Thalassobaculum salexigens DSM 19539,61,42,18,1.27721943,29.50819672,0.68852459,5084548,4776,2523231049,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Alphaproteobacteria,,Rhodospirillales,Rhodospirillaceae,Thalassobaculum,Thalassobaculum salexigens,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",0.68852459,,Alphaproteobacteria,,,,,,
240,370,419,Terasakiella pusilla DSM 6293,57,67,23,1.420383753,40.35087719,1.175438596,4053560,4013,2556921622,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Alphaproteobacteria,,Rhizobiales,Methylocystaceae,Terasakiella,Terasakiella pusilla,Host-associated,Unclassified,Unclassified,Unclassified,,"Aquatic, Host, Marine",1.175438596,,Alphaproteobacteria,,,,,,
326,369,418,Tenacibaculum ovolyticum DSM 18103,30,46,1,0.7959671,3.333333333,1.533333333,4124462,3769,2523533531,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Bacteroidetes,Flavobacteriia,,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,Tenacibaculum ovolyticum,Host-associated,Fish,Unclassified,Unclassified,,"Fish, Host, Marine",1.533333333,,Bacteroidetes,,,,,,
87,71,77,Crocosphaera watsonii WH 8501,43,39,15,0.640357409,34.88372093,0.906976744,6287279,6715,2503283009,Bacteria,Permanent Draft,Crocosphaera watsonii WH 8501 (120ctgs),,Cyanobacteria,unclassified,Crocosphaera,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii,Environmental,Aquatic,Unclassified,Marine,,,0.906976744,o,Cyanobacteria,#abdda4,#3288bd,,,,
172,70,74,Crocosphaera watsonii WH 0401,41,43,14,0.78378895,34.14634146,1.048780488,4549610,5231,2503283007,Bacteria,Permanent Draft,Crocosphaera watsonii WH 0401,"University of California, Santa Cruz",Cyanobacteria,unclassified,Crocosphaera,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii,,,,,,,1.048780488,,Cyanobacteria,,,,,,
152,69,71,Crocosphaera watsonii WH 0003,46,47,18,0.746026597,39.13043478,1.02173913,5890504,6166,2531839001,Bacteria,Permanent Draft,Crocosphaera watsonii WH 0003,"University of California, Santa Cruz",Cyanobacteria,unclassified,Crocosphaera,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii,Environmental,Aquatic,Unclassified,Marine,,,1.02173913,o,Cyanobacteria,,,,,,
166,74,84,"Cyanothece sp. BH68, ATCC 51142",54,56,21,1.008591707,38.88888889,1.037037037,5460377,5354,641522622,Bacteria,Finished,"Cyanothece sp. BH68, ATCC 51142",Washington University in St. Louis,Cyanobacteria,unclassified,,Oscillatoriales,Cyanothecaceae,Cyanothece,Cyanothece sp. ATCC 51142,Environmental,Aquatic,Intertidal zone,Marine,,Marine,1.037037037,,Cyanobacteria,,,,,,
165,73,83,"Cyanothece sp. BH63E, ATCC 51472",54,56,21,1.044487427,38.88888889,1.037037037,5460476,5170,2507262054,Bacteria,Permanent Draft,Cyanothece Sequencing CSP_777088,DOE Joint Genome Institute (JGI),Cyanobacteria,unclassified,,Oscillatoriales,Cyanothecaceae,Cyanothece,Cyanothece sp. ATCC 51472,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine",1.037037037,,Cyanobacteria,,,,,,
91,75,85,Cyanothece sp. CCY 0110,70,64,33,1.072632547,47.14285714,0.914285714,5880532,6526,640612201,Bacteria,Permanent Draft,Cyanothece sp. CCY 0110,J. Craig Venter Institute (JCVI),Cyanobacteria,unclassified,,Oscillatoriales,Cyanothecaceae,Cyanothece,Cyanothece sp. CCY0110,Environmental,Aquatic,Unclassified,Marine,,Marine,0.914285714,,Cyanobacteria,,,,,,
12,144,154,Lyngbya sp. PCC 8106,126,82,57,2.035212405,45.23809524,0.650793651,7037511,6191,639857035,Bacteria,Permanent Draft,Lyngbya sp. PCC 8106,J. Craig Venter Institute (JCVI),Cyanobacteria,unclassified,,Oscillatoriales,Oscillatoriaceae,Lyngbya,Lyngbya sp. PCC 8106,Environmental,Aquatic,Intertidal zone,Marine,,"Fresh water, Marine, Salt marsh",0.650793651,,Cyanobacteria,,,,,,
296,277,304,Prochlorococcus sp. MIT9107,4,5,,0.202736949,,1.25,1699937,1973,2606217692,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,Cyanobacteria,unclassified,Prochlorococcus,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,1.25,o,Prochlorococcus,#abdda4,#3288bd,,,,
262,268,295,Prochlorococcus marinus SS51,5,6,,0.257599176,,1.2,1746977,1941,2606217315,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,Cyanobacteria,unclassified,Prochlorococcus,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,1.2,o,Prochlorococcus,#abdda4,#3288bd,,,,
261,267,294,Prochlorococcus marinus SS35,5,6,,0.257466529,,1.2,1751015,1942,2606217311,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,Cyanobacteria,unclassified,Prochlorococcus,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,1.2,o,Prochlorococcus,#abdda4,#5e4fa2,,,,
233,358,385,Sulfurospirillum sp. Am-N,43,50,2,1.662799691,4.651162791,1.162790698,2264828,2586,2502171155,Bacteria,Permanent Draft,Sulfurospirillum sp. Am-N,J. Craig Venter Institute (JCVI),Proteobacteria,Epsilonproteobacteria,,Campylobacterales,Campylobacteraceae,Sulfurospirillum,Sulfurospirillum sp. Am-N,Environmental,Aquatic,Hydrothermal vents,Marine,,,1.162790698,,Epsilonproteobacteria,,,,,,
145,357,384,Sulfurospirillum arcachonense DSM 9755,54,54,6,1.988950276,11.11111111,1,2656384,2715,2524614541,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Epsilonproteobacteria,,Campylobacterales,Campylobacteraceae,Sulfurospirillum,Sulfurospirillum arcachonense,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Deep sea, Marine, Sediment",1,,Epsilonproteobacteria,,,,,,
313,356,383,"Sulfurimonas autotrophica OK10, DSM 16294",25,34,6,1.126126126,24,1.36,2153198,2220,648028058,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Proteobacteria,Epsilonproteobacteria,,Campylobacterales,Helicobacteraceae,Sulfurimonas,Sulfurimonas autotrophica,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Deep sea, Marine, Sediment",1.36,,Epsilonproteobacteria,,,,,,
94,355,382,Sulfitobacter sp. NAS-14.1,36,33,5,0.894187779,13.88888889,0.916666667,4002069,4026,638341212,Bacteria,Permanent Draft,Sulfitobacter sp. NAS-14.1,J. Craig Venter Institute (JCVI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,Sulfitobacter sp. NAS-14.1,Environmental,Aquatic,Unclassified,Marine,,,0.916666667,,Alphaproteobacteria,#fdae61,#3288bd,,,,
80,354,381,Sulfitobacter sp. EE-36,34,30,5,0.959909656,14.70588235,0.882352941,3547243,3542,638341211,Bacteria,Permanent Draft,Sulfitobacter sp. EE-36,J. Craig Venter Institute (JCVI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,Sulfitobacter sp. EE-36,Environmental,Aquatic,Unclassified,Marine,,,0.882352941,,Alphaproteobacteria,#fdae61,#d73027,,,,
33,353,380,Sulfitobacter indolifex HEL-45,52,40,7,1.235741445,13.46153846,0.769230769,4105524,4208,641380424,Bacteria,Permanent Draft,Sulfitobacter indolifex HEL-45,J. Craig Venter Institute (JCVI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,Sulfitobacter indolifex,Environmental,Aquatic,Unclassified,Marine,,,0.769230769,,Alphaproteobacteria,,,,,,
25,352,379,Streptomyces sulphureus DSM 40104,80,58,1,1.279385895,1.25,0.725,7106935,6253,2518645610,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sulphureus,Environmental,Aquatic,,,,"Marine, Soil",0.725,,Other,,,,,,
247,351,378,Stenotrophomonas sp. SKA14,57,68,17,1.254677526,29.8245614,1.192982456,5020454,4543,647533230,Bacteria,Permanent Draft,Stenotrophomonas sp. SKA14,J. Craig Venter Institute (JCVI),Proteobacteria,Gammaproteobacteria,,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas sp. SKA14,Environmental,Aquatic,Unclassified,Marine,,,1.192982456,,Gammaproteobacteria,#fdae61,#66c2a5,,,,
299,350,377,Stappia stellulata DSM 5886,35,44,7,0.811312007,20,1.257142857,4623171,4314,2524614815,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Stappia,Stappia stellulata,Environmental,Terrestrial,Unclassified,Soil,,"Aquatic, Marine, Mud",1.257142857,,Alphaproteobacteria,,,,,,
167,349,376,Sporosarcina ureae DSM 2281,27,28,2,0.799763033,7.407407407,1.037037037,3320651,3376,2523533529,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Firmicutes,Bacilli,,Bacillales,Planococcaceae,Sporosarcina,Sporosarcina ureae,Environmental,Aquatic,,Marine,,,1.037037037,,Firmicutes,,,,,,
88,348,375,Spongiibacter tropicus DSM 19543,34,31,14,0.904736562,41.17647059,0.911764706,3947342,3758,2524614733,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,,Cellvibrionales,Spongiibacteraceae,Spongiibacter,Spongiibacter tropicus,Environmental,Aquatic,Unclassified,Freshwater,,"Aquatic, Marine, Surface water",0.911764706,,Gammaproteobacteria,,,,,,
66,347,374,Spongiibacter marinus DSM 19753,38,32,15,1.162079511,39.47368421,0.842105263,3435542,3270,2523533546,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,,Cellvibrionales,Spongiibacteraceae,Spongiibacter,Spongiibacter marinus,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",0.842105263,,Gammaproteobacteria,,,,,,
98,346,373,"Spirochaeta thermophila Z-1203, DSM 6578",29,27,10,1.234042553,34.48275862,0.931034483,2560222,2350,2506381022,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Spirochaetes,Spirochaetia,,Spirochaetales,Spirochaetaceae,Spirochaeta,Spirochaeta thermophila,Environmental,Aquatic,Unclassified,Thermal springs,,"Aquatic, Hot spring, Marine",0.931034483,,Other,,,,,,
113,345,372,Sphingopyxis baekryungensis DSM 16222,28,27,5,0.944669366,17.85714286,0.964285714,3068208,2964,2524614570,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Alphaproteobacteria,,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis baekryungensis,Environmental,Aquatic,Marginal Sea,Marine,,"Aquatic, Marine, Sea water",0.964285714,,Alphaproteobacteria,,,,,,
300,344,371,Sphingopyxis alaskensis RB2256,19,24,2,0.581929556,10.52631579,1.263157895,3373713,3265,637000271,Bacteria,Finished,Sphingopyxis alaskensis,DOE Joint Genome Institute (JGI),Proteobacteria,Alphaproteobacteria,,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis alaskensis,Environmental,Aquatic,Unclassified,Marine,,,1.263157895,,Alphaproteobacteria,,,,,,
214,343,370,Sphingomonas sp. SKA58,32,36,10,0.803011292,31.25,1.125,3948000,3985,638341199,Bacteria,Permanent Draft,Sphingomonas sp. SKA58,J. Craig Venter Institute (JCVI),Proteobacteria,Alphaproteobacteria,,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. SKA58,Environmental,Aquatic,Unclassified,Marine,,,1.125,,Alphaproteobacteria,#fdae61,#d73027,,,,
144,342,369,Simiduia agarivorans DSM 21679,52,52,24,1.348547718,46.15384615,1,4274427,3856,2522572190,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,,Cellvibrionales,Cellvibrionaceae,Simiduia,Simiduia agarivorans,Environmental,Aquatic,Coastal,Marine,,"Aquatic, Marine, Sea water",1,,Gammaproteobacteria,,,,,,
73,341,368,Silicibacter sp. TrichCH4B,38,33,16,0.789364354,42.10526316,0.868421053,4689084,4814,647533209,Bacteria,Permanent Draft,Ruegeria sp. TrichCH4B,J. Craig Venter Institute (JCVI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Ruegeria,Silicibacter sp. TrichCH4B,Host-associated,Unclassified,Unclassified,Unclassified,,,0.868421053,,Alphaproteobacteria,#fdae61,#66c2a5,,,,
198,340,367,Shewanella waksmanii ATCC BAA-643,51,56,13,1.128568267,25.49019608,1.098039216,4973311,4519,2546825523,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,,Alteromonadales,Shewanellaceae,Shewanella,Shewanella waksmanii,Host-associated,Unclassified,Unclassified,Unclassified,,"Aquatic, Host, Marine",1.098039216,,Gammaproteobacteria,,,,,,
297,339,366,Shewanella benthica KT99,32,40,6,0.715083799,18.75,1.25,4351589,4475,2501651207,Bacteria,Permanent Draft,Shewanella benthica KT99,J. Craig Venter Institute (JCVI),Proteobacteria,Gammaproteobacteria,,Alteromonadales,Shewanellaceae,Shewanella,Shewanella benthica,Environmental,Aquatic,Unclassified,Marine,,,1.25,,Gammaproteobacteria,#fdae61,#5e4fa2,,,,
177,338,365,Serinicoccus marinus DSM 15273,17,18,,0.515933232,,1.058823529,3396505,3295,2524614805,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,,Micrococcales,Intrasporangiaceae,Serinicoccus,Serinicoccus marinus,Environmental,Aquatic,Marginal Sea,Marine,,"Aquatic, Marine, Sea water",1.058823529,,Other,,,,,,
188,337,364,Sciscionella marina DSM 45152,50,54,,0.608865075,,1.08,8536451,8212,2515154143,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,,Pseudonocardiales,Pseudonocardiaceae,Sciscionella,Sciscionella marina,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Marine, Sediment",1.08,,Other,,,,,,
83,336,363,SAR116 cluster alpha proteobacterium sp. HIMB100,9,8,,0.378787879,,0.888888889,2459485,2376,2503113005,Bacteria,Permanent Draft,SAR116 cluster alpha proteobacterium sp. HIMB100,Pennsylvania State University,Proteobacteria,Alphaproteobacteria,,unclassified,unclassified,unclassified,SAR116 cluster alpha proteobacterium HIMB100,Environmental,Aquatic,Unclassified,Marine,,,0.888888889,o,Alphaproteobacteria,#abdda4,#d73027,,,,
36,324,351,Saprospiraceae bacterium KD52,64,50,16,1.036101667,25,0.78125,7868778,6177,2617271238,Bacteria,Draft,Saprospiraceae bacterium KD52 Genome sequencing,Xiamen university,Bacteroidetes,Saprospiria,,Saprospirales,Haliscomenobacteraceae,Phaeodactylibacter,Phaeodactylibacter xiamenensis,,,,,,,0.78125,,Bacteroidetes,,,,,,
31,323,350,"Saprospira grandis HR1, DSM 2844",20,15,1,0.555864369,5,0.75,4495250,3598,2509276035,Bacteria,Permanent Draft,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Bacteroidetes,Saprospiria,,Saprospirales,Saprospiraceae,Saprospira,Saprospira grandis,Host-associated,Arthropoda,Unclassified,Unclassified,,Marine,0.75,,Other,,,,,,
1,322,349,Salisaeta longa DSM 21114,39,20,11,1.376632545,28.20512821,0.512820513,3399024,2833,2517093009,Bacteria,Permanent Draft,Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA),DOE Joint Genome Institute (JGI),Bacteroidetes,Cytophagia,,Rhodothermales,Rhodothermaceae,Salisaeta,longa,Environmental,Aquatic,Unclassified,Unclassified,,"Aquatic, Marine",0.512820513,,Bacteroidetes,,,,,,
